year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2012,1,MI,Michigan,Nutrition,Appropriations,Community,An Act Making Appropriations<br>,Enacted,H5500,1,"(Abstract - Appropriates monies to the Healthy Food Program.), (BillHistory - 03/20/2012 INTRODUCED; 03/20/2012 To HOUSE Committee on APPROPRIATIONS)",2,LEG,001NUT,002APP,002COM,5623,"(44.661319543001, -84.71439027)"
2010,1,WA,Washington,Nutrition,Incentives,Work Place,Insurance Benefits,Dead,S6756,3,"(Abstract - Requires insurance benefits with wellness incentives for public employees. ), (BillHistory - 01/25/2010 - INTRODUCED.;01/25/2010 - To SENATE Committee on HEALTH AND LONG-TERM CARE.;03/15/2010 - 2010 FIRST SPECIAL SESSION ACTION.;03/15/2010 - By Order of Resolution -  Reintroduced and retained in present status.)",17,LEG,001NUT,029INC,005WKP,1856,"(47.522278629, -120.47001079)"
2013,1,NE,Nebraska,Obesity,Appropriations,Community,An Act Relating to Appropriations,Introduced,LB119,0,"(Abstract - Includes in the appropriation to the state Department of Health and Human Services monies for preventive health programs designed to increase physical activity and decrease obesity, among other things.), (BillHistory - 01/11/2013 INTRODUCED; 01/15/2013 To LEGISLATIVE Committee on APPROPRIATIONS.)",28,LEG,002OB,002APP,002COM,6190,"(41.641040988001, -99.365720623)"
2011,1,MA,Massachusetts,Obesity,Appropriations,Community,Creation of the Barnstable Yarmouth Bike Path,Dead,SD1703,3,"(Abstract - Relates to the creation of the Barnstable Yarmouth bike path.   ), (BillHistory - 01/21/2011 - FILED.;01/21/2011 - Assigned SENATE Bill No. 1639)",28,LEG,002OB,002APP,002COM,4089,"(42.27687047, -72.082690675)"
2009,1,TX,Texas,Nutrition,Appropriations,Restaurant/Retail,Foods Containing Trans Fat,Dead,H1523,3,"(Abstract - Relates to a prohibition of foods containing trans fat, provides an administrative penalty.), (BillHistory - 02/19/2009 - INTRODUCED.;03/02/2009 - To HOUSE Committee on PUBLIC HEALTH.;04/24/2009 - From HOUSE Committee on PUBLIC HEALTH:  Reported favorably with substitute.;04/30/2009 - Committee report printed and distributed.)",2,LEG,001NUT,002APP,006RES,2031,"(31.827240407, -99.426770206)"
2010,1,IL,Illinois,Nutrition,Incentives,Community,Obesity Prevention Initiative Act,Dead,S3639,3,"(Abstract - Amends the Obesity Prevention Initiative Act, makes a technical change in a Section concerning the short title.), (BillHistory - 02/11/2010 - INTRODUCED.;02/11/2010 - To SENATE Committee on ASSIGNMENTS.)",17,LEG,001NUT,029INC,002COM,221,"(40.485010283, -88.997710178)"
2009,1,MA,Massachusetts,Obesity,Health Insurance Coverage,Community,School Nutrition,Dead,HD638,3,"(Abstract - Relates to school nutrition. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 2092.)",37,LEG,002OB,028HIC,002COM,2693,"(42.27687047, -72.082690675)"
2011,1,WA,Washington,Physical Activity,Pedestrians/Walking,School/After School,Permanent Rules,Enacted,30503,1,"(Abstract - Establishes regulations to improve student transportation and hazardous walking conditions.), (BillHistory - )",69,REG,003PA,052PED,004SAS,6054,"(47.522278629, -120.47001079)"
2011,1,TX,Texas,Obesity,Disparities/Equity,School/After School,Student Fitness,Dead,H2211,3,"(Abstract - Relates to the availability of individual student performance on a physical fitness assessment instrument.   ), (BillHistory - 03/04/2011 - INTRODUCED.;03/10/2011 - To HOUSE Committee on PUBLIC EDUCATION.)",32,LEG,002OB,013DEQ,004SAS,4610,"(31.827240407, -99.426770206)"
2011,1,MO,Missouri,Obesity,Appropriations,Community,Property Tax Relief,Dead,S224,3,"(Abstract - Relates to property tax relief for the alleviation of blight in certain counties.   ), (BillHistory - 02/07/2011 - INTRODUCED.;02/10/2011 - To SENATE Committee on WAYS AND MEANS AND FISCAL OVERSIGHT.;03/10/2011 - Hearing conducted.)",28,LEG,002OB,002APP,002COM,4205,"(38.635790776, -92.566300053)"
2009,1,MA,Massachusetts,Nutrition,Farm Direct Foods,Community,Student Nutrition and Wellness,Dead,HD1736,3,"(Abstract - Relates to student nutrition and wellness. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 446.)",8,LEG,001NUT,015FDF,002COM,2689,"(42.27687047, -72.082690675)"
2011,1,MN,Minnesota,Obesity,Appropriations,Community,Capital Improvements,Dead,S257,3,"(Abstract - Relates to capital improvements, appropriates money for the Lindau Lane Corridor, authorizes the sale and issuance of state bonds.   ), (BillHistory - 02/04/2011 - INTRODUCED.;02/04/2011 - To SENATE Committee on CAPITAL INVESTMENT.)",28,LEG,002OB,002APP,002COM,4146,"(46.355648736, -94.794200503)"
2010,1,NY,New York,Obesity,Appropriations,Community,Blighted Properties and Areas,Dead,A10811,3,"(Abstract - Defines blighted properties and areas. ), (BillHistory - 04/21/2010 - INTRODUCED.;04/21/2010 - To ASSEMBLY Committee on JUDICIARY.)",28,LEG,002OB,002APP,002COM,2269,"(42.827001032, -75.543970427)"
2011,1,MA,Massachusetts,Nutrition,Farmers Markets,Restaurant/Retail,Farmers Markets,Dead,HD3345,3,"(Abstract - Relates to farmers markets.   ), (BillHistory - 01/21/2011 - FILED.;01/21/2011 - Assigned HOUSE Bill No. 2840)",9,LEG,001NUT,016FAM,006RES,4059,"(42.27687047, -72.082690675)"
2011,1,ME,Maine,Obesity,Appropriations,Community,Farm Food Products Licensing Requirements,Dead,LR514,3,"(Abstract - Exempts farm food products and homemade food offered for sale or for consumption at certain events from certain licensing requirements.   ), (BillHistory - 01/13/2011 - FILED.;02/03/2011 - Assigned House Paper number 263 and LD 330)",28,LEG,002OB,002APP,002COM,3966,"(45.254228894001, -68.985031336)"
2009,1,NM,New Mexico,Physical Activity,Appropriations,Community,Small Cities Development Block Grants,Enacted,R5293,1,"(Abstract - Amends rules concerning small cities development block grants. Each CDBG application must meet at least one of the three national objectives, low and moderate income benefit, prevention or elimination of slums or blight or urgent need.), (BillHistory - )",48,REG,003PA,002APP,002COM,3404,"(34.520880952, -106.240580985)"
2008,1,IA,Iowa,Physical Activity,Bicycling,Community,Bicycle Laws,Dead,D1516,3,"(Abstract - Relates to bicycle laws.), (BillHistory - 12/15/2008 - FILED.)",50,LEG,003PA,005BIK,002COM,170,"(42.469400913, -93.816490556)"
2009,1,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Bicyclists and Road Laws,Dead,HD2517,3,"(Abstract - Relates to the law of the road and bicyclists.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 3321.)",68,LEG,003PA,049BED,002COM,272,"(42.27687047, -72.082690675)"
2011,1,NY,New York,Physical Activity,Bicycling,Community,Sales and Use Tax Exemption,Dead,A1975,3,"(Abstract - Exempts bicycle, motorcycle, snowmobile and equestrian helmets from sales and use tax.  ), (BillHistory - 01/12/2011 - INTRODUCED.;01/12/2011 - To ASSEMBLY Committee on WAYS AND MEANS.)",50,LEG,003PA,005BIK,002COM,4303,"(42.827001032, -75.543970427)"
2009,1,HI,Hawaii,Obesity,Appropriations,Community,Complete Streets and Roads and Highways,Dead,H306,3,"(Abstract - Directs the department of transportation to adopt a complete streets policy regarding future transportation projects.), (BillHistory - 01/23/2009 - INTRODUCED.;01/26/2009 - To HOUSE Committee on TRANSPORTATION.)",28,LEG,002OB,002APP,002COM,150,"(21.304850435, -157.857749403)"
2009,1,IA,Iowa,Obesity,Food Restrictions,Community,Farmers' Market Programs,Enacted,R7867,1,"(Abstract - Allows participants in the Senior Farmers' Market Nutrition Program to purchase locally produced, raw honey. ), (BillHistory - )",35,REG,002OB,020FOR,002COM,2319,"(42.469400913, -93.816490556)"
2009,1,MA,Massachusetts,Obesity,Appropriations,Community,Out of School Time Programming,Dead,SD1474,3,"(Abstract - Promotes out-of school time programming and community education for children and families in the Commonwealth, provides for grants.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned SENATE Bill No. 276.)",28,LEG,002OB,002APP,002COM,1877,"(42.27687047, -72.082690675)"
2009,1,NY,New York,Nutrition,Incentives,Community,Office Of Nutrition And Fitness,Dead,A3095,3,"(Abstract - Establishes the office of nutrition and fitness. ), (BillHistory - 01/22/2009 - INTRODUCED.;01/22/2009 - To ASSEMBLY Committee on GOVERNMENTAL OPERATIONS.)",17,LEG,001NUT,029INC,002COM,3026,"(42.827001032, -75.543970427)"
2011,1,MA,Massachusetts,Obesity,Menu Labeling,Community,Smart Growth Zoning and Housing Production,Dead,HD1041,3,"(Abstract - Encourages smart growth zoning and housing production.   ), (BillHistory - 01/19/2011 - FILED.;01/19/2011 - Assigned HOUSE Bill No. 1265)",41,LEG,002OB,032MNL,002COM,4046,"(42.27687047, -72.082690675)"
2012,1,ME,Maine,Physical Activity,Disabilities,School/After School,Maine Unified Special Education Regulation<br>,Enacted,9840,1,"(Abstract - Includes physical education in the definition of special education for students with disabilities.  ), (BillHistory - )",52,REG,003PA,011DIS,004SAS,6052,"(45.254228894001, -68.985031336)"
2010,1,PA,Pennsylvania,Obesity,Portion Size,School/After School,School Foods Reform,Dead,S1419,3,"(Abstract - Amends the Education Code. Further provides for school foods reform. Imposes duties on schools relating to the sale of food and beverages, and on the Department of Education and the Department of Health. ), (BillHistory - 06/23/2010 - INTRODUCED.;06/23/2010 - To SENATE Committee on EDUCATION.)",42,LEG,002OB,038POS,004SAS,3139,"(40.793730152, -77.860700294)"
2013,1,RI,Rhode Island,Obesity,Disparities/Equity,Medical and/or Hospital,Rite Care Program,Enacted,5111,1,"(Abstract - Offers nutrition services with a licensed dietician as part of coverage for enrollees of the state’s RIte Care program.), (BillHistory - )",32,REG,002OB,013DEQ,003MED,6550,"(41.708280193, -71.522470314)"
2010,1,NJ,New Jersey,Obesity,Food Restrictions,Community,Milk Coupons,Dead,A2431,3,"(Abstract - Authorizes use of retail coupons for purchase of milk by consumers. ), (BillHistory - 02/25/2010 - FILED.;03/04/2010 - INTRODUCED.;03/04/2010 - To ASSEMBLY Committee on CONSUMER AFFAIRS.)",35,LEG,002OB,020FOR,002COM,2957,"(40.130570048, -74.273691288)"
2009,1,HI,Hawaii,Nutrition,Incentives,Community,Taxation and Soft Drinks,Dead,H438,3,"(Abstract - Assesses a surcharge on all soft drinks sold in the State.), (BillHistory - 01/23/2009 - INTRODUCED.;01/26/2009 - To HOUSE Committee on HEALTH.)",17,LEG,001NUT,029INC,002COM,154,"(21.304850435, -157.857749403)"
2009,1,NY,New York,Nutrition,Agriculture and Farming,Community,Clean Water Jobs Bond Acts,Dead,S5886,3,"(Abstract - Enacts the clean water/clean air/green jobs bond acts of 2009, funds improvements to drinking water and wastewater systems, hazardous site cleanup, fuel efficiency research and development and other environmental projects, requires voter approval. ), (BillHistory - 06/15/2009 - INTRODUCED.;06/15/2009 - To SENATE Committee on RULES.;01/06/2010 - Transferred to SENATE Committee on FINANCE.;03/03/2010 - Amended in SENATE Committee on FINANCE.)",10,LEG,001NUT,017AGF,002COM,3064,"(42.827001032, -75.543970427)"
2011,1,NY,New York,Obesity,Appropriations,Community,Green Jobs Development,Dead,A1260,3,"(Abstract - Establishes statewide green jobs development and recruitment strategy and creating tax credit incentives to attract green jobs. Green development includes improving mass transit systems.  ), (BillHistory - 01/05/2011 - INTRODUCED.;01/05/2011 - To ASSEMBLY Committee on ECONOMIC DEVELOPMENT.)",28,LEG,002OB,002APP,002COM,4289,"(42.827001032, -75.543970427)"
2009,1,CA,California,Nutrition,Agriculture and Farming,Community,Public Health: Food Justice,Dead,A1488,3,"(Abstract - Requires the Department of Food and Agriculture to provide recommendations to the Legislature regarding the actions that need to be taken to promote food justice. ), (BillHistory - 02/27/2009 - INTRODUCED.;04/02/2009 - To ASSEMBLY Committee on AGRICULTURE.;01/31/2010 - Died pursuant to Art. IV, Sec. 10(c) of the Constitution.;02/02/2010 - From Committee: Filed with the Chief Clerk pursuant to JR 56.)",10,LEG,001NUT,017AGF,002COM,33,"(37.638640123, -120.999999538)"
2011,1,ME,Maine,Obesity,Food Restrictions,Restaurant/Retail,Farm Food Products Licensing Requirements,Dead,LR514,3,"(Abstract - Exempts farm food products and homemade food offered for sale or for consumption at certain events from certain licensing requirements.   ), (BillHistory - 01/13/2011 - FILED.;02/03/2011 - Assigned House Paper number 263 and LD 330)",35,LEG,002OB,020FOR,006RES,3966,"(45.254228894001, -68.985031336)"
2009,1,MA,Massachusetts,Nutrition,Liability and Indemnity,School/After School,Public School Sport Program Funding,Dead,S2122,3,"(Abstract - Relates to funds allocated for sports programs in public schools in the Commonwealth. ), (BillHistory - 08/03/2009 - INTRODUCED.;08/03/2009 - To JOINT Committee on EDUCATION.;09/29/2009 - In JOINT Committee on EDUCATION:  Heard. Eligible for Executive Session.;03/16/2010 - In JOINT Committee on EDUCATION: Set aside for Study.;05/10/2010 - From JOINT Committee on EDUCATION: Accompanied Study Order S 2422.)",18,LEG,001NUT,030LAI,004SAS,289,"(42.27687047, -72.082690675)"
2009,1,MA,Massachusetts,Nutrition,Farm Direct Foods,Community,Farmers Markets,Dead,SD979,3,"(Abstract - Relates to farmers markets.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned SENATE Bill No. 422.)",8,LEG,001NUT,015FDF,002COM,1883,"(42.27687047, -72.082690675)"
2009,1,NE,Nebraska,Physical Activity,Physical Education Requirements,School/After School,School Accreditation,Enacted,R1691,1,"(Abstract - Outlines procedures for the accreditation of schools. Specifies goals for Physical Education curriculum in elementary, middle, and secondary schools.), (BillHistory - )",61,REG,003PA,036PER,004SAS,3383,"(41.641040988001, -99.365720623)"
2013,1,AR,Arkansas,Nutrition,Disparities/Equity,Community,Community Services Block Grant State Plan,Enacted,6458,1,"(Abstract - Requires food banks and food pantries to provide nutritious food on an emergency basis to low-income individuals to counteract starvation and malnutrition.), (BillHistory - )",7,REG,001NUT,013DEQ,002COM,6613,"(34.748650124, -92.274490743)"
2007,1,MI,Michigan,Nutrition,Farm Direct Foods,Community,House Resolution<br>,Enacted,HR28,1,"(Abstract - Declares September 13, 2007 as Buy Fresh, Buy Local, Select Michigan Day. ), (BillHistory - 02/28/2007 INTRODUCED; 02/28/2007 In HOUSE. Passed HOUSE)",8,LEG,001NUT,015FDF,002COM,5617,"(44.661319543001, -84.71439027)"
2011,1,UT,Utah,Obesity,Appropriations,Restaurant/Retail,Short Title - Locally Produced Agriculture,Dead,H396,3,"(Abstract - (Short Title) Relates to locally produced agricultural products.   ), (BillHistory - 02/05/2011 - INTRODUCED.)",28,LEG,002OB,002APP,006RES,4686,"(39.360700171, -111.587130635)"
2011,1,NH,New Hampshire,Obesity,Appropriations,Restaurant/Retail,Definition of Local,Dead,LSR2226,3,"(Abstract - Relates to the definition of local for the purpose of selling fruits and vegetables.   ), (BillHistory - 06/02/2011 - FILED.)",28,LEG,002OB,002APP,006RES,4249,"(43.655950113, -71.50036092)"
2009,1,MA,Massachusetts,Obesity,Body Mass Index (BMI),Community,Transportation System Modernization,Dead,H4047,3,"(Abstract - Modernizes the transportation system of the Commonwealth.), (BillHistory - 04/06/2009 - INTRODUCED.;04/06/2009 - New Text of  S 2024.)",29,LEG,002OB,006BMI,002COM,1325,"(42.27687047, -72.082690675)"
2009,1,NJ,New Jersey,Obesity,Appropriations,Community,Urban Transit Hub Tax Credit Program,Enacted,R19075,1,"(Abstract - Amends rules regarding the Urban Transit Hub Tax Credit Program based on statutory revisions to the Urban Transit Hub Tax Credit Act. ), (BillHistory - )",28,REG,002OB,002APP,002COM,3397,"(40.130570048, -74.273691288)"
2010,1,HI,Hawaii,Nutrition,Fruits and Vegetables,School/After School,Farm to School Models,Dead,HCR287,3,"(Abstract - Convening a working group to examine farm to school models. ), (BillHistory - 03/10/2010 - INTRODUCED.;03/12/2010 - To HOUSE Committee on AGRICULTURE.;03/12/2010 - Additionally referred to HOUSE Committee on EDUCATION.)",15,LEG,001NUT,025FAV,004SAS,2062,"(21.304850435, -157.857749403)"
2011,1,NH,New Hampshire,Nutrition,Farm Direct Foods,Community,Definition of Local,Dead,LSR2226,3,"(Abstract - Relates to the definition of local for the purpose of selling fruits and vegetables.   ), (BillHistory - 06/02/2011 - FILED.)",8,LEG,001NUT,015FDF,002COM,4249,"(43.655950113, -71.50036092)"
2011,1,NH,New Hampshire,Obesity,Food Restrictions,Restaurant/Retail,Definition of Local,Dead,LSR2226,3,"(Abstract - Relates to the definition of local for the purpose of selling fruits and vegetables.   ), (BillHistory - 06/02/2011 - FILED.)",35,LEG,002OB,020FOR,006RES,4249,"(43.655950113, -71.50036092)"
2008,1,HI,Hawaii,Nutrition,Initiatives and Programs,Community,Senate Concurrent  Resolution<br>,Enacted,SCR134,1,"(Abstract - Urges the state Departments of Education and Health to practice “buy local"" to the maximum extent possible to encourage sustainability.), (BillHistory - Bill History Unavailable)",26,LEG,001NUT,053INP,002COM,5700,"(21.304850435, -157.857749403)"
2009,1,CT,Connecticut,Obesity,Appropriations,Community,State Budget,Vetoed,S1801b,2,"(Abstract - Concerns the state budget for the biennium ending June 30, 2011.), (BillHistory - 06/29/2009 - Enrolled PUBLIC ACT No. 09-1;07/01/2009 - Vetoed by GOVERNOR. (P.A. 09-01))",28,LEG,002OB,002APP,002COM,965,"(41.56266102, -72.649840952)"
2010,1,TN,Tennessee,Nutrition,Appropriations,School/After School,Education,Dead,S2475,3,"(Abstract - Requires LEAs to report upon the long-term effects of school sports on the health of students. ), (BillHistory - 01/11/2010 - PREFILED.;01/12/2010 - INTRODUCED.;01/25/2010 - To SENATE Committee on EDUCATION.)",2,LEG,001NUT,002APP,004SAS,3176,"(35.68094058, -85.774490914)"
2010,1,WA,Washington,Nutrition,Access to Healthy Foods,Community,Food Systems,Enacted,EO10,1,"(Abstract - Provides for the repealing of tax increases on certain processed foods, bottled water, candy, and carbonated beverages enacted by the 2010 legislature. ), (BillHistory - Initiative approved by voters 11/02/2010)",1,LEG,001NUT,001AHF,002COM,3492,"(47.522278629, -120.47001079)"
2010,1,NY,New York,Obesity,Menu Labeling,Community,Blighted Properties and Areas,Dead,A10811,3,"(Abstract - Defines blighted properties and areas. ), (BillHistory - 04/21/2010 - INTRODUCED.;04/21/2010 - To ASSEMBLY Committee on JUDICIARY.)",41,LEG,002OB,032MNL,002COM,2269,"(42.827001032, -75.543970427)"
2009,1,MA,Massachusetts,Obesity,Task Forces/Councils,School/After School,School Nutrition,Dead,HD638,3,"(Abstract - Relates to school nutrition. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 2092.)",44,LEG,002OB,047TFC,004SAS,2693,"(42.27687047, -72.082690675)"
2010,1,NJ,New Jersey,Nutrition,Farm Direct Foods,Community,Milk Coupons,Dead,A2431,3,"(Abstract - Authorizes use of retail coupons for purchase of milk by consumers. ), (BillHistory - 02/25/2010 - FILED.;03/04/2010 - INTRODUCED.;03/04/2010 - To ASSEMBLY Committee on CONSUMER AFFAIRS.)",8,LEG,001NUT,015FDF,002COM,2957,"(40.130570048, -74.273691288)"
2009,1,HI,Hawaii,Obesity,Food Restrictions,School/After School,School Lunches and Local Produce,Dead,S813,3,"(Abstract - Requires public school cafeterias to serve fresh local produce at lunch at least once each week.), (BillHistory - 01/23/2009 - INTRODUCED.;01/30/2009 - To SENATE Committee on EDUCATION AND HOUSING.)",35,LEG,002OB,020FOR,004SAS,1039,"(21.304850435, -157.857749403)"
2011,1,MA,Massachusetts,Obesity,Food Restrictions,School/After School,Healthy School Meals,Dead,HD1500,3,"(Abstract - Promotes healthy school meals.   ), (BillHistory - 01/20/2011 - FILED.;01/20/2011 - Assigned HOUSE Bill No. 1056)",35,LEG,002OB,020FOR,004SAS,4051,"(42.27687047, -72.082690675)"
2009,1,CO,Colorado,Nutrition,Agriculture and Farming,Community,Department of Education Funding,Enacted,S185,1,"(Abstract - Concerns a supplemental appropriation to the Department of Education.), (BillHistory - 06/22/2009 - Session Law Chaptered.  Chapter No. 444)",10,LEG,001NUT,017AGF,002COM,2219,"(38.843840757, -106.133610921)"
2010,1,TX,Texas,Obesity,Appropriations,Early Care and Education,Basic Care Requirements For School-age Children,Enacted,R18461,1,"(Abstract - Amends rules concerning basic care requirements for school-age children. Activities for school-age children must include opportunities for active play both indoors and outdoors.), (BillHistory - )",28,REG,002OB,002APP,001ECE,3455,"(31.827240407, -99.426770206)"
2009,1,OR,Oregon,Physical Activity,Built Environment and Street-Scale Design,Community,Convictions Used in Driver Improvement,Enacted,R31091,1,"(Abstract - Amends rules relating Convictions Used in Driver Improvement and Other Programs Where the Sanction Based on Cumulative Convictions. Addresses violations related to traffic safety.), (BillHistory - )",68,REG,003PA,049BED,002COM,2414,"(44.567449424, -120.155031326)"
2012,1,GA,Georgia,Nutrition,Access to Healthy Foods,School/After School,An Act Relating to Farm-to-School Programs.<br>,Dead,H843,3,"(Abstract - Establishes a Farm-to-School program), (BillHistory - 01/31/2012 INTRODUCED; 01/31/2012 To HOUSE Committee on AGRICULTURE AND CONSUMER AFFAIRS.)",1,LEG,001NUT,001AHF,004SAS,5586,"(32.839681093, -83.627580346)"
2009,1,MA,Massachusetts,Physical Activity,Physical Activity Requirements,School/After School,Physical Activity in Schools,Dead,HD3252,3,"(Abstract - Promotes physical activity in schools.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 457.)",60,LEG,003PA,035PAR,004SAS,276,"(42.27687047, -72.082690675)"
2009,1,MI,Michigan,Nutrition,Medical Care,Community,Bicycle Safety,Dead,S531,3,"(Abstract - Provides component in driver training courses on safety for bicyclists on the road.), (BillHistory - 05/05/2009 - INTRODUCED.;05/05/2009 - To SENATE Committee on TRANSPORTATION.)",16,LEG,001NUT,026MEC,002COM,1348,"(44.661319543001, -84.71439027)"
2010,1,NH,New Hampshire,Obesity,Health Insurance Coverage,Community,Insurance Coverage for Obesity and Morbid Obesity,Dead,LSR791,3,"(Abstract - Relates to insurance coverage for obesity and morbid obesity. ), (BillHistory - 12/07/2010 - FILED.;12/08/2010 - Withdrawn from further consideration.)",37,LEG,002OB,028HIC,002COM,2940,"(43.655950113, -71.50036092)"
2011,1,VT,Vermont,Physical Activity,Bicycling,Community,Bicycle Racks on State Buildings,Dead,H307,3,"(Abstract - Proposes to require the Department of Buildings and General Services to report on bicycle racks on the grounds of state buildings.   ), (BillHistory - 02/18/2011 - INTRODUCED.;02/22/2011 - To HOUSE Committee on CORRECTIONS AND INSTITUTIONS.)",50,LEG,003PA,005BIK,002COM,4702,"(43.625381239, -72.517640791)"
2009,1,MN,Minnesota,Obesity,Body Mass Index (BMI),Community,Capital Improvements,Dead,S101,3,"(Abstract - Relates to capital improvements, appropriates money for Minnesota to Chicago High Speed Rail Corridor, authorizes the sale and issuance of state bonds. ), (BillHistory - 01/15/2009 - INTRODUCED.;01/15/2009 - To SENATE Committee on FINANCE.)",29,LEG,002OB,006BMI,002COM,2813,"(46.355648736, -94.794200503)"
2011,1,IA,Iowa,Nutrition,Farm Direct Foods,Community,Local Farms and Foods,Dead,D2274,3,"(Abstract - Relates to local farms and foods.   ), (BillHistory - 02/28/2011 - FILED.;03/01/2011 - Assigned to Senate Study Bill: 1179.;03/07/2011 - Additionally assigned to Senate File: 441.)",8,LEG,001NUT,015FDF,002COM,3893,"(42.469400913, -93.816490556)"
2009,1,MA,Massachusetts,Obesity,Appropriations,School/After School,School Sports Participation,Dead,HD2981,3,"(Abstract - Promotes school sports participation.), (BillHistory - 01/07/2009 - FILED.)",28,LEG,002OB,002APP,004SAS,275,"(42.27687047, -72.082690675)"
2009,1,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Slope Resources Areas,Enacted,R9588,1,"(Abstract - Adds a map of slope resources areas. Creates a new section titled ""Innovative Development Residential II."" Discusses residential development methods (including traffic calming) that foster the creation of a pedestrian-and bike-friendly community.), (BillHistory - )",68,REG,003PA,049BED,002COM,3343,"(42.27687047, -72.082690675)"
2010,1,MN,Minnesota,Nutrition,Agriculture and Farming,Restaurant/Retail,Capital Investment,Dead,S2287,3,"(Abstract - Relates to capital investment, appropriates money for the Midtown Farmers Market in the city of Minneapolis, authorizes the sale and issuance of state bonds. ), (BillHistory - 02/04/2010 - INTRODUCED.;02/04/2010 - To SENATE Committee on FINANCE.)",10,LEG,001NUT,017AGF,006RES,368,"(46.355648736, -94.794200503)"
2011,1,MA,Massachusetts,Obesity,Appropriations,Community,Financing the Smart Growth Housing Trust Fund,Dead,HD1017,3,"(Abstract - Relates to financing the Smart Growth Housing Trust Fund.   ), (BillHistory - 01/19/2011 - FILED.;01/19/2011 - Assigned HOUSE Bill No. 990)",28,LEG,002OB,002APP,002COM,4045,"(42.27687047, -72.082690675)"
2009,1,MA,Massachusetts,Nutrition,Farmers Markets,Community,Electronic Benefit Transfer Farmers Market Project,Dead,SD377,3,"(Abstract - Establishes the Massachusetts EBT, or Electronic Benefit Transfer, Farmers Market Project.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned SENATE Bill No. 393.)",9,LEG,001NUT,016FAM,002COM,1881,"(42.27687047, -72.082690675)"
2009,1,OR,Oregon,Obesity,Appropriations,Community,WIC Vendor and Farmer Administration,Enacted,R30455,1,"(Abstract - Amends rules relating to the WIC vendor and farmer administration. Relates to cash value vouchers to purchase fruits and vegetables at farmer's markets and farm stands), (BillHistory - )",28,REG,002OB,002APP,002COM,2408,"(44.567449424, -120.155031326)"
2013,2,NJ,New Jersey,Physical Activity,Incentives,Community,Low Income Housing Tax Credit Qualified Allocation Plan<br>,Enacted,20153,1,"(Abstract - ""Creates a points-based incentive to build low income housing in close proximity to outdoor recreation, public transportation, and grocery stores.""), (BillHistory - )",55,REG,003PA,029INC,002COM,6568,"(40.130570048, -74.273691288)"
2011,1,NY,New York,Nutrition,Food Security,Community,Deficiency Budget,Dead,S2806,3,"(Abstract - Enacts the deficiency budget for the 2010-2011 state fiscal year. Allocates funds for nutrition program activities, and home-delivered nutritional services.  ), (BillHistory - 02/01/2011 - INTRODUCED.;02/01/2011 - To SENATE Committee on FINANCE.)",14,LEG,001NUT,023FOS,002COM,4390,"(42.827001032, -75.543970427)"
2010,1,RI,Rhode Island,Nutrition,Agriculture and Farming,Community,Special Supplemental Nutrition Program,Enacted,R4080,1,"(Abstract - Amends rules regarding 2010 state plan of operations and administration of the special supplemental nutrition program (WIC and farmers' market services). ), (BillHistory - )",10,REG,001NUT,017AGF,002COM,3438,"(41.708280193, -71.522470314)"
2009,1,NY,New York,Nutrition,Appropriations,Community,Food Service Warning,Dead,S3572,3,"(Abstract - Requires food service establishments to post a warning when trans fat is used in some or all of their food preparation.), (BillHistory - 03/24/2009 - INTRODUCED.;03/24/2009 - To SENATE Committee on HEALTH.)",2,LEG,001NUT,002APP,002COM,1406,"(42.827001032, -75.543970427)"
2010,1,MN,Minnesota,Nutrition,Media Campaigns,Community,Capital Improvements,Dead,H2626,3,"(Abstract - Relates to capital improvements, appropriates money for a regional community facility in Deer River, authorizes the sale and issuance of state bonds. ), (BillHistory - 02/04/2010 - INTRODUCED.;02/04/2010 - To HOUSE Committee on FINANCE.)",19,LEG,001NUT,031MDC,002COM,1213,"(46.355648736, -94.794200503)"
2009,1,NE,Nebraska,Nutrition,Task Forces/Councils,School/After School,Farm to School Program Task Force,Dead,L130,3,"(Abstract - Creates the Farm to School Program Task Force.), (BillHistory - 01/09/2009 - INTRODUCED.;01/13/2009 - To LEGISLATIVE Committee on AGRICULTURE.;05/29/2009 - 101st Legislature, First Session Adjourned - 05/29/2009 - Carried Over to Second Regular Session.)",23,LEG,001NUT,047TFC,004SAS,1288,"(41.641040988001, -99.365720623)"
